"ProductName","Location","Sublocation","Serial","Quantity"
"Classic in pewter with black swarovski - 2A","Queen Vic","","","5.00000"
"Classic in pewter with black swarovski - 2D","Coolum","","","8.00000"
"Classic in pewter with black swarovski - 2D","Eumundi","","","13.00000"
"Classic in pewter with black swarovski - 2D","Moonglow HQ","","","188.00000"
"Classic in pewter with black swarovski - 2D","Queen Vic","","","5.00000"
"Classic in pewter with black swarovski - 3A","Coolum","","","6.00000"
"Classic in pewter with black swarovski - 3A","Eumundi","","","12.00000"
"Classic in pewter with black swarovski - 3A","Moonglow HQ","","","229.00000"
"Classic in pewter with black swarovski - 3A","Queen Vic","","","6.00000"
"Classic in pewter with black swarovski - 3D","Coolum","","","6.00000"
"Classic in pewter with black swarovski - 3D","Eumundi","","","12.00000"
"Classic in pewter with black swarovski - 3D","Moonglow HQ","","","207.00000"
"Classic in pewter with black swarovski - 3D","Queen Vic","","","6.00000"
"Classic in pewter with black swarovski - 4A","Coolum","","","7.00000"
"Classic in pewter with black swarovski - 4A","Eumundi","","","10.00000"
"Classic in pewter with black swarovski - 4A","Moonglow HQ","","","137.00000"
"Classic in pewter with black swarovski - 4A","Queen Vic","","","4.00000"
"Classic in pewter with black swarovski - 4D","Coolum","","","9.00000"
"Classic in pewter with black swarovski - 4D","Eumundi","","","14.00000"
"Classic in pewter with black swarovski - 4D","Moonglow HQ","","","170.00000"
"Classic in pewter with black swarovski - 4D","Queen Vic","","","5.00000"
"Classic in pewter with black swarovski - 5A","Coolum","","","10.00000"
"Classic in pewter with black swarovski - 5A","Eumundi","","","14.00000"
"Classic in pewter with black swarovski - 5A","Moonglow HQ","","","202.00000"
"Classic in pewter with black swarovski - 5A","Queen Vic","","","5.00000"
"Classic in pewter with black swarovski - 5D","Coolum","","","7.00000"
"Classic in pewter with black swarovski - 5D","Eumundi","","","14.00000"
"Classic in pewter with black swarovski - 5D","Moonglow HQ","","","197.00000"
